player,pos,season,Players,2024/2025
Toumani Camara,PF,2024,Toumani Camara,"$1,891,857 "
Trae Young,PG,2024,Trae Young,"$43,031,940 "
Trayce Jackson-Davis,PF,2024,Trayce Jackson-Davis,"$1,891,857 "
Tre Jones,PG,2024,Tre Jones,"$9,104,167 "
Tre Mann,PG,2024,Tre Mann,"$4,908,373 "
Trendon Watford,PF,2024,Trendon Watford,"$2,726,603 "
Trevelin Queen,SG,2024,Trevelin Queen,"$578,577 "
Trey Jemison,C,2024,Trey Jemison,"$578,577 "
Trey Lyles,PF,2024,Trey Lyles,"$8,000,000 "
Tristan Thompson,C,2024,Tristan Thompson,"$3,303,771 "
Tristan Vukcevic,C,2024,Tristan Vukcevic,"$578,577 "
Ty Jerome,SG,2024,Ty Jerome,"$2,560,975 "
Tyler Herro,SG,2024,Tyler Herro,"$29,000,000 "
Tyrese Haliburton,PG,2024,Tyrese Haliburton,"$42,176,400 "
Tyrese Maxey,PG,2024,Tyrese Maxey,"$35,147,000 "
Tyus Jones,PG,2024,Tyus Jones,"$3,003,427 "
Victor Wembanyama,C,2024,Victor Wembanyama,"$12,768,664 "
Vit Krejci,PG,2024,Vit Krejci,"$2,162,606 "
Walker Kessler,C,2024,Walker Kessler,"$2,965,920 "
Zach Collins,C,2024,Zach Collins,"$16,741,200 "
Zach LaVine,SG,2024,Zach LaVine,"$43,031,940 "
Zeke Nnaji,PF,2024,Zeke Nnaji,"$8,888,889 "
Ziaire Williams,SF,2024,Ziaire Williams,"$6,133,005 "
Zion Williamson,PF,2024,Zion Williamson,"$36,725,670 "
